id;name;sign_as;designation;image;image_content_type;default_signature;address;created_at;updated_at
1;Shoes North Carolina Dynamic;Fresh;Comoro Franc;../fake-data/blob/hipster.png;image/png;false;matrix quantifying;2020-01-04;2020-01-04
2;maximize;Steel 1080p;Landing Planner Computer;../fake-data/blob/hipster.png;image/png;true;Uzbekistan;2020-01-04;2020-01-04
3;Baby Borders;AI bypass;Papua New Guinea Gloves;../fake-data/blob/hipster.png;image/png;false;gold Credit Card Account;2020-01-04;2020-01-04
4;Checking Account;Fresh Ethiopian Birr;Personal Loan Account transparent;../fake-data/blob/hipster.png;image/png;true;orange Small;2020-01-04;2020-01-04
5;Directives;Points West Virginia;Cheese;../fake-data/blob/hipster.png;image/png;false;target;2020-01-04;2020-01-05
6;Checking Account mobile;Seamless Berkshire;deposit wireless;../fake-data/blob/hipster.png;image/png;true;Chicken Group;2020-01-05;2020-01-04
7;pink;Concrete architectures;web services payment;../fake-data/blob/hipster.png;image/png;false;Internal;2020-01-04;2020-01-04
8;Cotton SMTP;reintermediate Refined holistic;Generic;../fake-data/blob/hipster.png;image/png;false;1080p;2020-01-04;2020-01-04
9;compress back up Direct;Director;Buckinghamshire Steel;../fake-data/blob/hipster.png;image/png;false;Usability Borders;2020-01-04;2020-01-04
10;4th generation;microchip Cambridgeshire;Gibraltar Pound;../fake-data/blob/hipster.png;image/png;true;Handmade;2020-01-04;2020-01-04
